step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
325,40596,1300,0.03573381712684522,0.75,0.75,,,,,,,,,
326,40728,1304,0.03481393327845439,0.5,0.5,,,,,,,,,
327,40828,1308,0.021021833828820793,1.0,1.0,,,,,,,,,
328,40960,1312,0.014298127269108818,1.0,1.0,,,,,,,,,
329,41092,1316,0.015033326900993984,1.0,1.0,0.029925241059627294,1.0,1.0,,,,,,
330,41224,1320,0.027050025862141072,0.75,0.75,,,,,,,,,
331,41356,1324,0.01713513320385573,1.0,1.0,,,,,,,,,
332,41488,1328,0.02241835448139,1.0,1.0,,,,,,,,,
333,41620,1332,0.014934679439833187,1.0,1.0,,,,,,,,,
334,41752,1336,0.04941353248006749,0.75,0.75,,,,,,,,,
335,41884,1340,0.017177532085004544,1.0,1.0,,,,,,,,,
336,41984,1344,0.0247219320897572,1.0,1.0,,,,,,,,,
337,42116,1348,0.012604963275425122,1.0,1.0,0.0168549334487264,1.0,1.0,,,,,,
338,42248,1352,0.04524241376135308,0.5,0.5,,,,,,,,,
339,42348,1356,0.03459579847846499,0.75,0.75,,,,,,,,,
340,42448,1360,0.06783700908707184,0.75,0.75,,,,,,,,,
341,42580,1364,0.01988351545465605,1.0,1.0,,,,,,,,,
342,42712,1368,0.025939660750942152,0.75,0.75,,,,,,,,,
343,42844,1372,0.025826295537773377,0.75,0.75,,,,,,,,,
344,42944,1376,0.08105483465613665,0.5,0.5,,,,,,,,,
345,43076,1380,0.04395481863354689,0.75,0.75,0.02026048007216559,1.0,1.0,,,,,,
346,43176,1384,0.017101274494355796,1.0,1.0,,,,,,,,,
347,43308,1388,0.019648289366938344,1.0,1.0,,,,,,,,,
348,43408,1392,0.027874335430296923,1.0,1.0,,,,,,,,,
349,43508,1396,0.023662382745951616,1.0,1.0,,,,,,,,,
350,43640,1400,0.021822933697933422,1.0,1.0,,,,,,,,,
351,43772,1404,0.018484540370195646,1.0,1.0,,,,,,,,,
352,43904,1408,0.022527658018475453,0.75,0.75,,,,,,,,,
353,44036,1412,0.03403325886846233,0.75,0.75,0.053897353118145475,0.5,0.5,,,,,,
354,44168,1416,0.026309256943618495,0.75,0.75,,,,,,,,,
355,44300,1420,0.01638722378612897,1.0,1.0,,,,,,,,,
356,44400,1424,0.030255924404941657,0.75,0.75,,,,,,,,,
357,44532,1428,0.025474358378424995,0.75,0.75,,,,,,,,,
358,44664,1432,0.018636083907913416,1.0,1.0,,,,,,,,,
359,44796,1436,0.018797861945406568,1.0,1.0,,,,,,,,,
360,44928,1440,0.026881299673392506,0.75,0.75,,,,,,,,,
361,45060,1444,0.02371658040603165,1.0,1.0,0.028160202310315678,0.75,0.75,,,,,,
362,45192,1448,0.019939134567470092,1.0,1.0,,,,,,,,,
363,45324,1452,0.031203703508143693,0.5,0.5,,,,,,,,,
364,45456,1456,0.011898361745141132,1.0,1.0,,,,,,,,,
365,45588,1460,0.02220101383861504,1.0,1.0,,,,,,,,,
366,45720,1464,0.04838397316716566,0.5,0.5,,,,,,,,,
367,45852,1468,0.014731576291635875,1.0,1.0,,,,,,,,,
368,45952,1472,0.03166822192512162,0.75,0.75,,,,,,,,,
369,46052,1476,0.024961488282616528,1.0,1.0,0.03816477636826392,0.75,0.75,,,,,,
370,46184,1480,0.029631719124564457,0.75,0.75,,,,,,,,,
371,46316,1484,0.050627553637199015,0.75,0.75,,,,,,,,,
372,46448,1488,0.04267768113895784,0.75,0.75,,,,,,,,,
373,46580,1492,0.027823911389233444,1.0,1.0,,,,,,,,,
374,46712,1496,0.023720804560490482,0.75,0.75,,,,,,,,,
375,46844,1500,0.01382504673885819,1.0,1.0,,,,,,,,,
376,46976,1504,0.016624382007808833,1.0,1.0,,,,,,,,,
377,47108,1508,0.02198031284776107,1.0,1.0,0.017615879917570965,1.0,1.0,,,,,,
378,47240,1512,0.01819720844243534,1.0,1.0,,,,,,,,,
379,47372,1516,0.012544328218090756,1.0,1.0,,,,,,,,,
